experiment,sample,nmse,rmse,ssim,psnr
baseline_steps_20,289_0.png,0.01499092299128992,0.045565953176823666,0.898629088601277,26.827190812094894
baseline_steps_20,289_1.png,0.015605019613456002,0.04614740427199604,0.9001724265973531,26.71705452376561
baseline_steps_20,289_2.png,0.018838266280668856,0.05103883383676482,0.8786830826417743,25.84198493226955
baseline_steps_20,289_3.png,0.008270730200921119,0.036290740253049826,0.9176075785443765,28.804083481093738
baseline_steps_20,289_4.png,0.011959195806369585,0.04321583910220525,0.9245264770438504,27.287140710798184
baseline_steps_5,289_0.png,0.015237204126312565,0.04593872270611218,0.9044706097804597,26.756421686643574
baseline_steps_5,289_1.png,0.01583138437399681,0.04648090387655716,0.9073007456128187,26.65450863161226
baseline_steps_5,289_2.png,0.01855927942270922,0.0506594922159505,0.8878619037093013,25.906783227879227
baseline_steps_5,289_3.png,0.00854936873421824,0.036896988790399134,0.9211243799531348,28.66018109480852
baseline_steps_5,289_4.png,0.012533841346358467,0.044241929377517406,0.9240329536062237,27.083318768827557
baseline_steps_50,289_0.png,0.015732879750865385,0.04667995025848112,0.8967761680533365,26.617392303522657
baseline_steps_50,289_1.png,0.016728938956222548,0.047780348861896464,0.9003302883485808,26.41501342637926
baseline_steps_50,289_2.png,0.019105392749671397,0.05139942517384735,0.8771095666807797,25.78083514513335
baseline_steps_50,289_3.png,0.008499583941846857,0.03678940243076896,0.9143008215111866,28.685545325277758
baseline_steps_50,289_4.png,0.012789117770797491,0.044690195545014716,0.9200104021911397,26.995754904729345
irt_steps_5,289_0.png,0.014123500734784175,0.044228015323234206,0.903432920231428,27.086050852051553
irt_steps_5,289_1.png,0.014673284597302449,0.04474853159317401,0.9085806043197299,26.984424551244132
irt_steps_5,289_2.png,0.018437644769350274,0.05049321207727227,0.8840927009617979,25.935340395178514
irt_steps_5,289_3.png,0.008118572148533915,0.03595536710420035,0.9207012039323095,28.884725955169785
irt_steps_5,289_4.png,0.011604092165992284,0.04256940170485681,0.9253356594086252,27.418048596179233
seed_123,289_0.png,0.01587471389403746,0.04688989134525684,0.9034361514222645,26.578415528806403
seed_123,289_1.png,0.0164843238162405,0.047429733752474904,0.9075507941633388,26.478986147229996
seed_123,289_2.png,0.01894830994629631,0.0511876883533876,0.8825288898180426,25.81669018921314
seed_123,289_3.png,0.008723195138996049,0.03727019747786408,0.9219886401375271,28.57276653179489
seed_123,289_4.png,0.01254980320478648,0.04427009148303396,0.9234912507686094,27.077791634559638
